run,subrun,event,col_wire,col_time,ind_wire,ind_time
8580,162,17007,19,1079,55,809
8580,163,17159,33,1117,15,1099
8586,45,2215,30,1192,25,1191
8586,50,2686,31,1321,16,1279
8586,58,3505,35,1097,13,1080
8586,59,3612,29,1164,19,1144
8586,63,4014,24,1057,24,1040
8586,67,4383,29,1033,20,1014
8586,94,6862,25,1669,24,1639
8586,94,6865,30,1101,18,1078
8586,100,7456,22,1301,27,1289
8586,109,8337,34,1469,15,1443
8586,117,9032,35,1091,13,1064
8586,124,9659,32,1009,16,985
8586,139,10977,26,861,24,839
8586,141,11148,30,1318,25,1302
8586,154,12379,24,980,23,950
8586,155,12481,27,979,23,966
8586,173,14119,31,1406,16,1360
8586,179,14694,26,1181,23,1156
8586,183,15079,39,1160,14,1157
8586,189,15651,26,1255,23,1218
8586,195,16255,38,1015,22,1019
8586,198,16575,27,1368,22,1349
8586,205,17233,21,1601,28,1585
8586,208,17538,21,856,26,829
8586,210,17723,18,1101,31,1079
8586,212,17922,26,996,22,962
8586,215,18189,29,1156,19,1136
8586,216,18290,35,1242,13,1223
8586,216,18291,18,1491,32,1473
8586,219,18576,29,1104,21,1081
8586,224,19075,32,1680,16,1649
8586,224,19076,29,962,18,921
8586,225,19174,28,1645,21,1621
8586,236,20267,21,1339,27,1314
8586,236,20268,29,1432,20,1409
8586,269,23607,21,1553,28,1539
8586,275,24174,19,954,31,931
8586,275,24182,27,1060,23,1043
8586,278,24468,25,1258,24,1225
8586,280,24687,43,1121,23,1144
8586,283,24966,26,1213,23,1194
8586,287,25297,45,1036,17,1054
8586,294,25936,26,819,22,788
8586,298,26321,26,1668,23,1633
8586,316,27848,29,1499,19,1468
8586,321,28289,25,1434,23,1385
8586,330,29142,36,1014,13,999
8586,334,29546,40,1040,23,1065
8586,354,31513,36,978,13,965
8586,362,32304,20,1566,28,1536
8586,364,32513,40,1090,27,1138
8586,367,32781,28,1372,21,1352
8586,371,33135,37,1201,12,1193
8586,373,33309,30,1158,18,1142
8586,383,34294,32,1305,18,1287
8586,390,34974,21,1031,27,1011
8586,391,35077,29,1661,19,1623
8586,392,35177,30,1209,39,1162
8586,392,35188,28,1630,21,1614
8586,395,35458,32,998,16,970
8586,396,35540,24,1223,27,1213
8586,405,36296,29,1472,19,1430
8586,424,37937,22,1453,28,1434
8586,436,38976,30,1071,18,1040
8586,458,40920,28,1472,22,1446
8586,459,41054,33,1786,16,1761
8586,467,41745,34,1104,13,1079
8586,480,42845,33,1158,15,1124
8590,9,933,89,836,62,806
8590,14,1433,30,1175,18,1158
8590,17,1686,21,1263,27,1224
8590,47,4365,26,1000,24,981
8590,59,5441,27,1258,22,1236
8590,90,8493,28,1081,21,1064
8590,97,9110,34,1178,15,1157
8590,102,9626,23,1069,26,1045
8590,113,10614,30,1437,19,1414
8590,120,11263,22,1694,25,1650
8590,122,11442,23,1332,25,1316
8590,122,11448,19,1053,29,1021
8590,143,13499,24,1363,25,1353
8590,143,13501,21,1290,27,1267
8590,162,15443,25,1355,26,1339
8590,169,16110,29,1388,18,1355
8590,180,17172,24,1146,24,1126
8590,187,17818,22,1111,26,1087
8590,190,18144,34,1490,15,1466
8590,200,19096,18,1427,31,1404
8590,203,19387,33,1148,15,1123
8590,213,20379,16,975,31,944
8590,221,21151,33,1299,16,1270
8590,224,21460,29,1448,21,1431
8590,236,22670,33,1150,28,1165
8590,243,23407,35,1210,13,1176
8590,244,23500,26,1115,24,1091
8590,246,23733,19,1089,31,1075
8590,251,24232,45,932,14,951
8590,253,24453,26,1197,22,1158
8590,254,24545,19,1059,31,1040
8590,254,24550,22,1299,26,1272
8590,261,25265,27,1338,21,1306
8590,261,25273,23,1406,25,1369
8590,280,27174,29,1184,21,1162
8590,285,27713,24,1473,26,1451
8590,288,27990,41,817,16,834
8590,289,28103,17,1427,32,1388
8590,304,29611,19,1266,30,1237
8590,305,29704,27,1204,21,1174
8590,309,30122,24,1503,26,1480
8590,311,30321,24,906,24,889
8590,311,30322,16,1101,32,1073
8590,312,30445,29,1221,20,1193
8590,315,30737,29,1682,21,1662
8590,321,31376,21,1260,29,1237
8590,324,31679,29,839,18,810
8590,326,31898,21,891,26,860
8590,327,32014,18,1014,30,985
8590,334,32749,26,1490,24,1460
8590,355,34872,29,1388,20,1354
8590,357,35074,30,1244,18,1215
8590,361,35455,21,1007,27,974
8590,365,35830,87,1005,25,983
8590,370,36283,21,1593,27,1567
8590,373,36586,22,1344,26,1311
8590,388,37918,21,1223,27,1184
8590,391,38241,28,1332,21,1306
8590,397,38839,31,933,24,934
8590,401,39236,36,1371,13,1349
8590,401,39243,34,1086,13,1055
8590,406,39771,28,1079,21,1055
8590,413,40484,34,1046,15,1024
8590,414,40583,27,1030,25,1028
8590,415,40684,30,1185,18,1147
8590,415,40701,21,1059,28,1044
8590,417,40903,105,970,137,937
8590,423,41503,29,1668,17,1669
8590,428,41986,32,915,25,932
8590,431,42306,223,1667,20,948
8590,440,43231,24,1045,25,1024
8590,445,43736,23,1145,25,1129
8590,452,44437,36,1590,13,1568
8590,452,44457,27,1149,22,1122
8590,453,44555,28,1070,31,1081
8590,471,46384,32,1456,17,1432
8590,473,46630,18,1317,31,1283
8590,474,46760,22,1033,26,1014
8591,5,340,33,1123,16,1098
8591,6,440,28,1515,21,1485
8591,13,1087,19,1169,30,1151
8591,13,1106,46,857,25,934
8591,15,1327,18,1570,31,1543
8591,20,1825,30,1198,18,1171
8591,32,3022,29,1213,20,1191
8591,34,3227,16,967,32,952
8591,34,3235,19,1525,30,1499
8591,35,3320,26,1201,22,1168
8591,57,5464,21,1240,26,1207
8591,60,5734,27,1471,22,1444
8591,63,6009,29,1146,20,1119
8591,66,6315,25,1178,24,1154
8591,67,6428,32,931,16,899
8591,68,6503,32,1160,16,1139
8591,71,6772,22,1366,26,1335
8591,78,7471,34,1319,13,1293
8591,80,7673,29,989,19,960
8591,81,7782,32,1222,18,1207
8591,87,8361,14,1139,33,1112
8591,90,8640,16,957,31,930
8591,94,9066,34,926,15,903
8591,97,9366,30,1223,18,1205
8591,99,9580,15,1307,33,1288
8591,104,10058,27,1102,27,1101
8591,109,10553,19,1028,31,1007
8591,109,10560,35,895,59,597
8591,119,11584,31,1225,17,1205
8591,122,11864,33,1060,15,1032
8591,149,14561,26,1410,22,1374
8591,153,14915,27,1078,22,1054
8591,153,14936,26,1213,22,1176
8591,169,16479,27,1058,24,1041
8591,169,16496,19,1523,32,1500
8591,171,16732,17,956,32,947
8591,184,17975,37,952,13,938
8591,184,17984,30,1115,18,1092
8591,187,18279,30,1005,18,985
8591,197,19235,27,1568,23,1545
8591,197,19244,26,1251,23,1226
8591,205,20029,22,1088,26,1071
8591,206,20134,15,1289,33,1271
