run,subrun,event
9486,203,15537
9486,207,15873
9486,209,16065
9486,211,16207
9486,211,16219
9486,211,16221
9486,213,16388
9486,221,17101
9486,231,17889
9486,232,18002
9486,232,18023
9486,236,18305
9486,240,18609
9486,241,18691
9486,247,19245
9486,253,19748
9486,255,19939
9486,257,20082
9486,263,20548
9486,269,21030
9486,275,21470
9486,278,21684
9486,282,22015
9486,285,22257
9486,290,22691
9486,292,22820
9486,298,23287
9486,299,23358
9486,299,23361
9486,301,23545
9486,8,734
9486,8,735
9486,16,1414
9486,18,1599
9486,25,2225
9486,27,2383
9486,30,2672
9486,32,2815
9486,42,3527
9486,45,3718
9486,52,4303
9486,57,4756
9486,69,5483
9486,69,5530
9486,74,5916
9486,78,6252
9486,83,6612
9486,89,7088
9486,100,7946
9486,102,8088
9486,107,8475
9486,117,9177
9486,131,9906
9486,140,10663
9486,151,11563
9486,155,11870
9486,160,12237
9486,162,12370
9486,169,12911
9486,172,13107
9486,182,13884
9486,204,15636
9486,204,15637
9486,212,16329
9486,238,18445
9486,238,18448
9486,238,18476
9486,266,20775
9486,267,20877
9486,284,22196
9486,295,23064
9486,295,23067
9486,12,1063
9486,22,1930
9486,22,1958
9486,43,3616
9486,43,3618
9486,48,4027
9486,61,4966
9486,79,6326
9486,91,7226
9486,106,8403
9486,106,8405
9486,134,10130
9486,139,10566
9486,144,11005
9486,144,11007
9489,12,909
9489,13,943
9489,13,965
9489,13,972
9489,23,1670
9489,28,2021
9489,57,3509
9489,83,5503
9489,93,6251
9489,93,6253
9489,105,7196
9489,146,9845
9489,162,10862
9489,162,10880
9489,168,11264
9489,169,11323
9489,175,11747
9489,175,11749
9489,178,11894
9489,185,12301
9489,186,12350
9489,201,13343
9489,216,14347
9489,216,14354
9489,221,14686
9489,227,15040
9489,227,15056
9489,230,15257
9489,235,15559
9489,248,16382
9489,259,17057
9489,259,17058
9489,259,17059
9489,270,17717
9489,271,17770
9489,273,17923
9489,285,18645
8591,41,3941
8591,57,5464
8591,71,6772
8591,79,7547
8591,104,10058
8591,104,10061
8591,108,10484
8591,122,11864
8591,145,14190
8591,148,14478
8591,153,14915
8591,153,14920
8591,153,14936
8591,177,17306
8591,197,19235
8591,197,19244
8591,199,19431
8591,211,20644
8591,246,23999
8591,250,24426
8591,253,24716
8591,258,25208
8591,258,25238
8591,258,25243
8591,277,27074
8591,277,27083
8591,277,27085
8591,281,27446
8591,301,29365
8591,305,29753
8591,334,32427
8605,4,512
