run,subrun,event
8682,45,3562
8682,45,3573
8682,56,4322
8682,57,4391
8682,64,4809
8682,74,5414
8682,81,5895
8682,109,8338
8682,112,8576
8682,112,8577
8682,123,9461
8682,149,11562
8682,154,12069
8682,173,13803
8682,209,16675
8682,258,21100
8682,265,21590
8682,265,21601
8682,265,21625
8682,298,24190
8682,319,25999
8682,351,29050
8682,367,30631
8682,378,31798
8682,378,31808
8682,398,34166
8682,475,42676
8739,67,6364
8682,27,2172
8682,27,2182
8682,27,2206
8682,40,3229
8682,118,9026
8682,124,9498
8682,124,9542
8682,157,12283
8682,171,13625
8682,198,15779
8682,198,15802
8682,206,16469
8682,260,21220
8682,308,25114
8682,320,26030
8682,363,30161
8682,363,30162
8682,407,35173
8682,416,36088
8682,416,36118
8682,473,42411
8739,150,14316
8739,157,15023
8739,268,25740
8739,274,26356
8739,316,30593
8739,369,35537
8739,370,35615
8682,3,190
8682,42,3357
8682,70,5174
8682,95,7062
8682,101,7595
8682,114,8735
8682,259,21196
8682,263,21459
8682,283,22969
8682,309,25150
8682,353,29242
8682,395,33765
8682,395,33774
8682,401,34485
8682,404,34863
8682,429,37522
8682,443,39115
8682,466,41664
8739,359,34593
8682,15,1223
8682,19,1554
8682,105,7944
8682,128,9861
8682,132,10173
8682,132,10174
8682,133,10264
8682,147,11389
8682,162,12787
8682,162,12808
8682,181,14478
8682,221,17658
8685,210,21984
8685,210,22006
8685,263,27659
8685,268,28192
8739,3,485
8739,184,17598
8739,224,21417
8739,235,22423
8739,278,26776
8739,301,29028
8739,379,36471
8682,25,2047
8682,43,3401
8682,43,3419
8682,51,3978
8682,51,4033
8682,104,7884
8682,126,9701
8682,148,11467
8682,155,12137
8682,172,13739
8682,239,19531
8685,207,21668
8685,243,25430
8685,262,27514
8739,73,6922
8739,216,20636
8739,276,26576
8685,9,975
8685,35,3604
8685,100,10640
8685,151,15745
8685,151,15787
8685,151,15802
8685,159,16517
8685,192,20103
8685,205,21494
8685,226,23652
8685,238,24944
8685,238,24960
8685,260,27286
8685,264,27755
8685,269,28317
8685,272,28620
8739,32,3150
8739,107,10275
8739,134,12786
8739,145,13857
8739,156,14924
8739,163,15575
8739,180,17204
8739,221,21114
8739,336,32456
8685,3,297
8685,15,1443
8685,15,1453
8685,24,2409
8685,28,2854
8685,36,3728
8685,39,4039
8685,75,7849
8685,85,8985
8685,85,8991
8685,95,10137
8685,103,10930
8685,117,12327
8685,139,14455
8685,139,14466
8685,148,15463
8685,154,16123
8685,228,23843
8685,239,25021
8738,73,7578
8738,81,8330
8738,284,28696
8738,292,29526
8738,305,30840
8738,320,32334
8738,327,33073
8558,6,169
8558,9,278
8558,9,282
8558,10,297
8559,12,498
8559,14,569
8559,18,757
8559,19,796
8598,3,766
8680,2,190
8680,2,226
8680,4,470
8680,6,746
8680,10,1252
8680,13,1607
8680,13,1631
8680,13,1651
8680,18,2273
8680,20,2514
8680,20,2522
8680,20,2524
8680,21,2645
8680,22,2763
8680,35,4488
8559,20,853
8743,161,16541
8743,198,20006
8743,211,21320
8743,219,22074
8743,242,24405
8743,278,27882
8743,295,29609
8743,298,29878
8743,319,31921
8743,332,33224
8743,336,33649
8743,347,34761
8743,393,39226
8743,404,40339
8743,464,46360
8743,44,5049
8743,58,6430
